Content Manifest for Depot 2347773

Manifest ID / date     : 1309483716239998645 / 2026-08-10T21:38:41.0000000Z
Total number of files  : 133
Total number of chunks : 7041
Total bytes on disk    : 7172328569
Total bytes compressed : 4604824784

          Size Chunks File SHA                                 Flags Name
        183104      1 236012fc609253612d606f5670749387d751a6eb     0 game\bin\linuxsteamrt64\libvorbis.so.0
        690400      1 b5d3043cadc61cd22fa21ee22eae3546cc7f621b     0 game\bin\linuxsteamrt64\libvorbisenc.so.2
         35360      1 3c4c4fc86877c37c8f637ceae9c91795adfd23d4     0 game\bin\linuxsteamrt64\libvorbisfile.so.3
       5423616      6 0d7c1cfb6544b6380540994195fe2b006c90e5c2     0 game\bin\linuxsteamrt64\libvphysics2.so
       3205768      4 7ee108b86e414426587fcf8d64e037c7f3f78544     0 game\bin\linuxsteamrt64\libvpx.so.6
       1294160      2 24c848ddba225315d630c0c2d38b9041be3af760     0 game\bin\linuxsteamrt64\libvscript.so
       4525796      5 f836811bb6f151c4d316d1d27f6e5d97047b43d9     0 game\bin\linuxsteamrt64\libworldrenderer.so
          3822      1 956919b920713ce452f46c20cf8643674f7543f7     0 game\cs2.sh
      73059352     70 a128f6ee6f904e6ad4d1400cbd216a4e35486b05     0 game\csgo\bin\linuxsteamrt64\libclient.so
       3159612      4 f5a71a56e176a26ec52a67710df9006fc7be0334     0 game\csgo\bin\linuxsteamrt64\libhost.so
       3769636      4 2b96ee76eac16487e98b7b81a994923e2f0069a6     0 game\csgo\bin\linuxsteamrt64\libmatchmaking.so
      40351608     39 e30d8ffa241285ef613b09852e4584109ac9716c     0 game\csgo\bin\linuxsteamrt64\libserver.so
     182648578    175 d4b7d7aea361a8b94c54e79904d642d712a1a3f5     0 game\csgo_community_addons\cs_shelter\cs_shelter_000.vpk
     107052112    105 2c61877687a4e433f04a62340fb3ce54b70e039c     0 game\csgo_community_addons\cs_shelter\cs_shelter_001.vpk
     106101480    104 e5dc305d96a55ae88a396ac6d98037209b4520ce     0 game\csgo_community_addons\cs_shelter\cs_shelter_002.vpk
     105126974    101 6e129e4ab59b61d1f288aaa1beca1eaa547a5339     0 game\csgo_community_addons\cs_shelter\cs_shelter_003.vpk
     104909952    101 34cf5be524f0eb93dd8f70db3ec8ee09b39631a2     0 game\csgo_community_addons\cs_shelter\cs_shelter_004.vpk
     109995824    105 178c3f1d2e96aba362e0b183d4ba0932102cdc94     0 game\csgo_community_addons\cs_shelter\cs_shelter_005.vpk
     105276701    101 5b6c0b0df1fb31fe3cbb92b74061bbbda4d59024     0 game\csgo_community_addons\cs_shelter\cs_shelter_006.vpk
     106544143    103 3465a01567c2a936b9c0e6be48e6354dba1d8c78     0 game\csgo_community_addons\cs_shelter\cs_shelter_007.vpk
