Content Manifest for Depot 2347773

Manifest ID / date     : 8127770850217610141 / 2026-08-03T18:17:47.0000000Z
Total number of files  : 133
Total number of chunks : 7042
Total bytes on disk    : 7172660793
Total bytes compressed : 4604939152

          Size Chunks File SHA                                 Flags Name
        155548      1 98a20947358e880331bef61dd558df18547585c6     0 game/bin/linuxsteamrt64/cs2
         84104      1 17f3c133b5c62e6e2bbb0280e038912414412579     0 game/bin/linuxsteamrt64/fltlnx64.flt
      15272824     15 721949005d307e0f512c337559eb93489e3d0ea0     0 game/bin/linuxsteamrt64/libanimationsystem.so
       3678216      4 68f95c77a3ab19b380f142ab7e6ccb543af9d37c     0 game/bin/linuxsteamrt64/libavcodec.so.58
        888848      1 bcfdd74b8bc4268cc6af190a10c8d64d27b71bc9     0 game/bin/linuxsteamrt64/libavformat.so.58
        129496      1 4895da33d08a56dfb48daa79a3bcee9f9c361649     0 game/bin/linuxsteamrt64/libavresample.so.4
        712672      1 451e7c11727fefe58f2cca8fc0e0cd0bc562f43e     0 game/bin/linuxsteamrt64/libavutil.so.56
       1596148      2 b96dfdf2fe9a36436fd4f04ca78e292982ea15b1     0 game/bin/linuxsteamrt64/libcairo.so
      10343728     10 3d7a08ba7a6e6d3d8d3c48d12636a96e714755ef     0 game/bin/linuxsteamrt64/libengine2.so
       3105160      3 5c840bec72243606172b11d4b24ad0400f3fe0f0     0 game/bin/linuxsteamrt64/libfilesystem_stdio.so
       1304272      2 0af1352041c54e16129773dc8d038872f9f839be     0 game/bin/linuxsteamrt64/libfontconfig.so.1
       3930056      4 0b64e7c4eab1a6313867cb39c0fafbeb026aac7f     0 game/bin/linuxsteamrt64/libfreetype.so.6
        513732      1 6833b3aba3e1e780ce2ba0939be77fa76dc613ed     0 game/bin/linuxsteamrt64/libinputsystem.so
        648488      1 b0974fbb8ce47aebff38dd1169490d349843c9a5     0 game/bin/linuxsteamrt64/liblocalize.so
